,기간자금설정,기간자금해지,증감
2018-09-04,"68,566","38,562","30,005"
2018-09-03,"35,443","37,999","-2,555"
2018-08-31,"29,366","113,002","-83,636"
2018-08-30,"25,722","61,155","-35,433"
2018-08-29,"44,594","44,751",-158
2018-08-28,"21,175","33,820","-12,645"
2018-08-27,"20,847","44,104","-23,257"
2018-08-24,"19,259","23,664","-4,405"
2018-08-23,"24,986","47,406","-22,420"
2018-08-22,"31,617","30,875",742
2018-08-21,"29,568","25,980","3,588"
2018-08-20,"27,731","41,010","-13,279"
2018-08-17,"50,018","58,784","-8,766"
2018-08-16,"36,182","28,890","7,291"
